epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,13473.4,0.72405,0.36962,1.00841,0.98658,0.99225,0.99457,0.82534,0.71266,0.31732,0.93293,0.000848969,0.000848969,0.000848969
43,13747.2,0.73322,0.37068,1.00726,0.98736,0.98593,0.99445,0.83609,0.69365,0.31258,0.92312,0.000834822,0.000834822,0.000834822
44,14019.3,0.71719,0.36437,0.99314,0.99301,0.98486,0.99472,0.83443,0.72366,0.31941,0.91451,0.000820675,0.000820675,0.000820675
45,14292.4,0.71322,0.36716,0.99113,0.98689,0.98857,0.99261,0.82781,0.70675,0.33126,0.92345,0.000806528,0.000806528,0.000806528
46,14563.4,0.71696,0.36145,1.00076,0.98995,0.98725,0.99468,0.83742,0.71066,0.32471,0.94362,0.00079238,0.00079238,0.00079238
47,14835.8,0.72872,0.37125,1.00561,0.98596,0.98997,0.9946,0.8379,0.70023,0.31878,0.94164,0.000778233,0.000778233,0.000778233
48,15107.4,0.72833,0.36195,1.00324,0.99044,0.98622,0.99409,0.82815,0.71032,0.33955,0.94303,0.000764086,0.000764086,0.000764086
49,15379.7,0.70482,0.35702,0.99843,0.99375,0.98945,0.99493,0.83757,0.71349,0.3151,0.95236,0.000749939,0.000749939,0.000749939
50,15652.8,0.71182,0.35926,0.99883,0.98882,0.98858,0.99481,0.83101,0.71613,0.31658,0.93703,0.000735792,0.000735792,0.000735792
51,15926.1,0.71679,0.36387,0.99695,0.99384,0.98761,0.99485,0.83327,0.7125,0.30839,0.92255,0.000721645,0.000721645,0.000721645
52,16198.2,0.70128,0.34829,0.99066,0.98413,0.99254,0.99475,0.84338,0.69392,0.30883,0.91147,0.000707498,0.000707498,0.000707498
53,16471.1,0.70744,0.35051,0.98988,0.98744,0.99436,0.99475,0.83147,0.71193,0.30435,0.91199,0.000693351,0.000693351,0.000693351
54,16743.2,0.69856,0.34466,0.98058,0.99502,0.98958,0.99486,0.83473,0.6997,0.30863,0.92331,0.000679204,0.000679204,0.000679204
55,17015.5,0.70322,0.35468,0.98907,0.9939,0.98825,0.9948,0.8333,0.69862,0.30793,0.93742,0.000665057,0.000665057,0.000665057
56,17287.9,0.7054,0.35211,0.99249,0.99427,0.98541,0.99485,0.83638,0.69976,0.30769,0.92194,0.000650909,0.000650909,0.000650909
57,17560.5,0.69535,0.33898,0.99002,0.98608,0.99425,0.99472,0.83772,0.69426,0.30008,0.9126,0.000636762,0.000636762,0.000636762
58,17832.4,0.70263,0.3461,0.99607,0.99392,0.98411,0.99471,0.83539,0.69275,0.30151,0.92771,0.000622615,0.000622615,0.000622615
59,18105.3,0.68548,0.33355,0.98328,0.98931,0.9931,0.99478,0.8402,0.69885,0.29701,0.91703,0.000608468,0.000608468,0.000608468
60,18376.8,0.70213,0.34081,0.99075,0.97391,0.98044,0.99274,0.82898,0.72298,0.34151,0.92437,0.000594321,0.000594321,0.000594321
61,18648.8,0.69832,0.34023,0.984,0.99183,0.99607,0.99478,0.8368,0.69761,0.28944,0.91004,0.000580174,0.000580174,0.000580174
62,18920.7,0.6783,0.33854,0.9753,0.99099,0.98896,0.99477,0.83584,0.6915,0.29464,0.90844,0.000566027,0.000566027,0.000566027
63,19192,0.68212,0.33671,0.9774,0.9813,0.99542,0.99455,0.83514,0.69688,0.29244,0.91108,0.00055188,0.00055188,0.00055188
64,19463.8,0.68766,0.33829,0.98508,0.98935,0.99124,0.99478,0.84288,0.69286,0.29244,0.92177,0.000537733,0.000537733,0.000537733
65,19735.7,0.67867,0.34019,0.98369,0.99085,0.98753,0.99451,0.83637,0.70979,0.31596,0.93867,0.000523586,0.000523586,0.000523586
66,20008.2,0.68432,0.33345,0.98799,0.99154,0.9885,0.99489,0.83903,0.70192,0.29228,0.9264,0.000509438,0.000509438,0.000509438
67,20280.4,0.66593,0.33165,0.98153,0.99406,0.98938,0.9949,0.84154,0.68409,0.28832,0.91505,0.000495291,0.000495291,0.000495291
68,20551.8,0.68,0.32559,0.98867,0.99343,0.98387,0.99473,0.84189,0.68697,0.29069,0.93068,0.000481144,0.000481144,0.000481144
69,20823.3,0.67394,0.32876,0.98369,0.99255,0.99182,0.99489,0.84323,0.68801,0.29073,0.93603,0.000466997,0.000466997,0.000466997
70,21095.7,0.6834,0.33218,0.99103,0.99269,0.98842,0.99485,0.83919,0.69264,0.29188,0.9518,0.00045285,0.00045285,0.00045285
71,21368.2,0.66945,0.31857,0.98036,0.99577,0.98486,0.99484,0.84001,0.68849,0.28643,0.94052,0.000438703,0.000438703,0.000438703
72,21640.5,0.66556,0.31836,0.97889,0.9949,0.98933,0.99483,0.83938,0.69769,0.29007,0.92912,0.000424556,0.000424556,0.000424556
