epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,33078.2,0.71267,0.40787,1.00999,0.99684,0.96015,0.99134,0.8434,0.71747,0.36058,1.02257,0.000848969,0.000848969,0.000848969
43,33385.5,0.71812,0.4001,1.00973,0.97005,0.99315,0.99333,0.83651,0.70712,0.33793,1.00479,0.000834822,0.000834822,0.000834822
44,33692.9,0.73692,0.39764,1.01177,0.9846,0.97844,0.99396,0.84168,0.69342,0.34123,1.0172,0.000820675,0.000820675,0.000820675
45,34000.2,0.72503,0.40634,1.0184,0.99499,0.97101,0.99349,0.83256,0.71122,0.33511,1.02355,0.000806528,0.000806528,0.000806528
46,34306.9,0.70515,0.39342,0.99777,0.99026,0.97617,0.98844,0.83548,0.70268,0.33277,1.01856,0.00079238,0.00079238,0.00079238
47,34613.8,0.70418,0.38523,1.00423,0.98225,0.96054,0.98617,0.84755,0.69506,0.3362,1.01684,0.000778233,0.000778233,0.000778233
48,34921.2,0.73436,0.40048,1.01607,0.97397,0.9835,0.99163,0.85085,0.67149,0.31907,0.99698,0.000764086,0.000764086,0.000764086
49,35228.9,0.73161,0.40771,1.01396,0.97157,0.98884,0.99227,0.85731,0.68249,0.31532,1.00859,0.000749939,0.000749939,0.000749939
50,35535.8,0.69292,0.37919,1.0035,0.97682,0.98171,0.99387,0.83664,0.6977,0.34587,1.01451,0.000735792,0.000735792,0.000735792
51,35842.8,0.69971,0.40039,0.99761,0.97958,0.98251,0.99299,0.85612,0.6791,0.3238,1.00343,0.000721645,0.000721645,0.000721645
52,36150.1,0.70632,0.38446,1.00033,0.98539,0.98681,0.99406,0.84633,0.70144,0.32721,1.02541,0.000707498,0.000707498,0.000707498
53,36456.6,0.67483,0.37415,0.99454,0.98158,0.98514,0.99363,0.85076,0.70067,0.32401,1.01853,0.000693351,0.000693351,0.000693351
54,36763.9,0.68459,0.37373,0.99909,0.96673,0.94829,0.98846,0.82521,0.72988,0.33759,1.03858,0.000679204,0.000679204,0.000679204
55,37071,0.68299,0.37796,0.99477,0.98112,0.98051,0.99246,0.84778,0.668,0.32137,0.99061,0.000665057,0.000665057,0.000665057
56,37377.6,0.67143,0.37047,0.97702,0.98302,0.99176,0.99403,0.85396,0.67492,0.30546,0.9974,0.000650909,0.000650909,0.000650909
57,37684.3,0.67514,0.3678,0.98534,0.95206,0.99171,0.9916,0.85962,0.6652,0.32794,0.98716,0.000636762,0.000636762,0.000636762
58,37991.1,0.69438,0.37443,0.98853,0.99025,0.97726,0.99318,0.85462,0.6822,0.30858,0.99379,0.000622615,0.000622615,0.000622615
59,38297.6,0.67229,0.36376,0.98491,0.9814,0.98356,0.99207,0.85493,0.67266,0.30156,0.99894,0.000608468,0.000608468,0.000608468
60,38604.6,0.67379,0.36523,0.98497,0.9867,0.98972,0.9941,0.86186,0.64514,0.29766,0.9836,0.000594321,0.000594321,0.000594321
61,38911.4,0.65477,0.35568,0.98468,0.98842,0.9865,0.9942,0.86718,0.64675,0.29232,0.98131,0.000580174,0.000580174,0.000580174
62,39218.7,0.65976,0.35512,0.97627,0.99123,0.97512,0.99004,0.85269,0.6607,0.29637,0.99615,0.000566027,0.000566027,0.000566027
63,39535.7,0.66166,0.35081,0.97542,0.97257,0.99726,0.99378,0.8529,0.65461,0.31578,0.99032,0.00055188,0.00055188,0.00055188
64,39845.1,0.64605,0.34884,0.97372,0.99222,0.979,0.99382,0.8681,0.64441,0.29102,0.98317,0.000537733,0.000537733,0.000537733
65,40152.4,0.65859,0.35141,0.9698,0.98555,0.98493,0.99439,0.86543,0.64778,0.29014,0.98513,0.000523586,0.000523586,0.000523586
66,40459.4,0.65049,0.34941,0.97345,0.99279,0.97524,0.99406,0.86766,0.64361,0.28875,0.99066,0.000509438,0.000509438,0.000509438
67,40767,0.63454,0.33544,0.96505,0.98539,0.98499,0.99396,0.86037,0.64326,0.29131,0.98107,0.000495291,0.000495291,0.000495291
68,41074.2,0.63505,0.34225,0.9738,0.99493,0.98591,0.99407,0.87081,0.63879,0.28591,0.98515,0.000481144,0.000481144,0.000481144
69,41381.3,0.64074,0.34519,0.97036,0.98491,0.98646,0.99407,0.87084,0.61625,0.28457,0.96612,0.000466997,0.000466997,0.000466997
70,41688.6,0.62955,0.34236,0.96524,0.99175,0.97973,0.99347,0.87317,0.62168,0.2732,0.97105,0.00045285,0.00045285,0.00045285
71,41996,0.638,0.33804,0.97112,0.99839,0.98502,0.99386,0.87017,0.62276,0.27206,0.97395,0.000438703,0.000438703,0.000438703
72,42303.2,0.63081,0.33842,0.97093,0.98649,0.99028,0.99414,0.86598,0.63658,0.28029,0.97968,0.000424556,0.000424556,0.000424556
73,42609.6,0.62695,0.32988,0.96465,0.9919,0.98302,0.99404,0.86662,0.61822,0.27937,0.96608,0.000410409,0.000410409,0.000410409
74,42916.6,0.62449,0.33303,0.96908,0.99815,0.98985,0.99433,0.8735,0.62049,0.27049,0.97339,0.000396262,0.000396262,0.000396262
75,43223.9,0.61352,0.33362,0.95399,0.99352,0.98746,0.99443,0.86894,0.6267,0.27161,0.97182,0.000382115,0.000382115,0.000382115
